set_num,name,year,theme_id,num_parts,img_url,figs,retail,unique_figs,rating,retire_month,value,brickset_rating
41318-1,Heartlake Hospital,2017,494,880,https://cdn.rebrickable.com/media/sets/41318-1.jpg,0,84.99,0,4.6,October 2018,217.77,3.9
41319-1,Snow Resort Hot Chocolate Van,2017,494,246,https://cdn.rebrickable.com/media/sets/41319-1.jpg,0,19.99,0,4.6,January 2019,36.37,3.7
41320-1,Heartlake Frozen Yogurt Shop,2017,494,370,https://cdn.rebrickable.com/media/sets/41320-1.jpg,0,39.99,0,4.2,January 2019,44.41,3.7
41322-1,Snow Resort Ice Rink,2017,494,307,https://cdn.rebrickable.com/media/sets/41322-1.jpg,0,24.99,0,4.4,February 2019,41.51,3.6
41323-1,Snow Resort Chalet,2017,494,402,https://cdn.rebrickable.com/media/sets/41323-1.jpg,0,39.99,0,4.5,November 2018,68.13,4.0
41324-1,Snow Resort Ski Lift,2017,494,585,https://cdn.rebrickable.com/media/sets/41324-1.jpg,0,54.99,0,4.7,February 2019,137.17,3.7
41325-1,Heartlake City Playground,2017,494,326,https://cdn.rebrickable.com/media/sets/41325-1.jpg,0,39.99,0,4.8,November 2018,126.45,4.3
41326-1,Friends Advent Calendar 2017,2017,216,217,https://cdn.rebrickable.com/media/sets/41326-1.jpg,0,19.99,0,4.5,November 2017,44.10,3.7
41332-1,Emma's Art Stand,2018,494,211,https://cdn.rebrickable.com/media/sets/41332-1.jpg,0,17.99,0,4.8,August 2019,32.50,3.9
41333-1,Olivia's Mission Vehicle,2018,494,223,https://cdn.rebrickable.com/media/sets/41333-1.jpg,0,14.99,0,4.7,January 2020,25.25,4.0
41334-1,Andrea's Park Performance,2018,494,229,https://cdn.rebrickable.com/media/sets/41334-1.jpg,0,19.99,0,4.4,February 2019,26.56,3.6
41335-1,Mia's Tree House,2018,494,351,https://cdn.rebrickable.com/media/sets/41335-1.jpg,0,24.99,0,4.7,December 2020,36.20,3.9
41337-1,Underwater Loop,2019,494,389,https://cdn.rebrickable.com/media/sets/41337-1.jpg,0,24.99,0,4.6,December 2020,25.66,3.9
41339-1,Mia's Camper Van,2018,494,489,https://cdn.rebrickable.com/media/sets/41339-1.jpg,0,49.99,0,4.8,December 2019,98.11,4.0
41340-1,Friendship House,2018,494,730,https://cdn.rebrickable.com/media/sets/41340-1.jpg,0,59.99,0,4.7,March 2020,124.98,3.9
41344-1,Andrea's Accessories Store,2018,494,294,https://cdn.rebrickable.com/media/sets/41344-1.jpg,0,24.99,0,4.7,January 2020,31.86,4.0
41347-1,Heartlake City Resort,2018,494,1019,https://cdn.rebrickable.com/media/sets/41347-1.jpg,0,89.99,0,4.8,February 2020,155.55,4.0
41348-1,Service & Care Truck,2018,494,255,https://cdn.rebrickable.com/media/sets/41348-1.jpg,0,14.99,0,4.4,August 2019,19.91,3.6
41349-1,Drifting Diner,2018,494,345,https://cdn.rebrickable.com/media/sets/41349-1.jpg,0,24.99,0,4.5,August 2019,37.05,3.7
41351-1,Creative Tuning Shop,2018,494,421,https://cdn.rebrickable.com/media/sets/41351-1.jpg,0,39.99,0,4.4,January 2020,31.64,4.0
41352-1,The Big Race Day,2018,494,648,https://cdn.rebrickable.com/media/sets/41352-1.jpg,0,49.99,0,4.5,September 2019,53.92,3.9
41353-1,Friends Advent Calendar 2018,2018,216,500,https://cdn.rebrickable.com/media/sets/41353-1.jpg,0,22.99,0,4.5,June 2019,29.82,3.6
41365-1,Emma's Art Studio,2019,494,235,https://cdn.rebrickable.com/media/sets/41365-1.jpg,0,19.99,0,4.8,December 2019,52.87,3.8
41366-1,Olivia's Cupcake Cafe,2019,494,335,https://cdn.rebrickable.com/media/sets/41366-1.jpg,0,24.99,0,4.4,November 2020,29.45,3.6
41369-1,Mia's House,2019,494,725,https://cdn.rebrickable.com/media/sets/41369-1.jpg,0,59.99,0,4.7,December 2020,66.08,4.1
41371-1,Mia's Horse Trailer,2019,494,216,https://cdn.rebrickable.com/media/sets/41371-1.jpg,0,24.99,0,4.7,January 2021,30.79,3.4
41373-1,Funny Octopus Ride,2019,494,324,https://cdn.rebrickable.com/media/sets/41373-1.jpg,0,34.99,0,4.6,December 2020,34.95,3.8
41374-1,Andrea's Pool Party,2019,494,468,https://cdn.rebrickable.com/media/sets/41374-1.jpg,0,44.99,0,4.7,December 2020,44.96,3.8
41375-1,Heartlake City Amusement Pier,2019,494,1267,https://cdn.rebrickable.com/media/sets/41375-1.jpg,0,119.99,0,4.7,January 2021,107.64,3.8
41376-1,Turtles Rescue Mission,2019,494,225,https://cdn.rebrickable.com/media/sets/41376-1.jpg,0,17.99,0,4.7,June 2020,26.50,3.8
41378-1,Dolphins Rescue Mission,2019,494,374,https://cdn.rebrickable.com/media/sets/41378-1.jpg,0,34.99,0,4.6,December 2020,38.39,4.1
41379-1,Heartlake City Restaurant,2019,494,640,https://cdn.rebrickable.com/media/sets/41379-1.jpg,0,54.99,0,4.6,March 2021,54.20,4.3
41380-1,Lighthouse Rescue Center,2019,494,622,https://cdn.rebrickable.com/media/sets/41380-1.jpg,0,54.99,0,4.7,February 2021,52.12,4.2
41381-1,Rescue Mission Boat,2019,494,928,https://cdn.rebrickable.com/media/sets/41381-1.jpg,0,84.99,0,4.7,January 2021,85.25,4.2
41382-1,Friends Advent Calendar 2019,2019,216,330,https://cdn.rebrickable.com/media/sets/41382-1.jpg,0,22.99,0,4.6,November 2019,30.89,3.7
41391-1,Heartlake City Hair Salon,2020,494,235,https://cdn.rebrickable.com/media/sets/41391-1.jpg,0,17.99,0,4.6,November 2021,23.23,3.5
41393-1,Baking Competition,2020,494,361,https://cdn.rebrickable.com/media/sets/41393-1.jpg,0,34.99,0,4.6,November 2022,40.44,3.9
41395-1,Friendship Bus,2020,494,778,https://cdn.rebrickable.com/media/sets/41395-1.jpg,0,64.99,0,4.6,November 2022,74.70,4.4
41420-1,Friends Advent Calendar 2020,2020,216,236,https://cdn.rebrickable.com/media/sets/41420-1.jpg,0,19.99,0,4.7,January 2021,31.28,3.6
41421-1,Baby Elephant Jungle Rescue,2020,494,203,https://cdn.rebrickable.com/media/sets/41421-1.jpg,0,17.99,0,4.5,November 2021,19.96,3.5
41422-1,Panda Jungle Tree House,2020,494,265,https://cdn.rebrickable.com/media/sets/41422-1.jpg,0,24.99,0,4.7,March 2022,37.74,3.5
41423-1,Tiger Hot Air Balloon Jungle Rescue,2020,494,302,https://cdn.rebrickable.com/media/sets/41423-1.jpg,0,34.99,0,4.6,October 2021,40.77,4.1
41430-1,Summer Fun Water Park,2020,494,1012,https://cdn.rebrickable.com/media/sets/41430-1.jpg,0,89.99,0,4.7,October 2021,115.96,4.2
41453-1,Party Time,2018,625,214,https://cdn.rebrickable.com/media/sets/41453-1.jpg,4,29.99,3,4.5,August 2018,19.41,3.6
41454-1,Dr. Fox Laboratory,2018,625,359,https://cdn.rebrickable.com/media/sets/41454-1.jpg,4,34.99,1,4.4,August 2018,33.34,3.8
41455-1,Unikingdom Creative Brick Box,2018,625,443,https://cdn.rebrickable.com/media/sets/41455-1.jpg,17,39.99,10,4.7,August 2018,62.40,3.6
41498-1,Boba Fett & Han Solo in Carbonite,2017,610,329,https://cdn.rebrickable.com/media/sets/41498-1.jpg,0,31.59,0,5.0,October 2017,509.98,4.5
41597-1,Go Brick Me,2018,610,708,https://cdn.rebrickable.com/media/sets/41597-1.jpg,0,25.99,0,4.9,January 2019,52.27,4.2
41610-1,Tactical Batman & Superman,2018,610,209,https://cdn.rebrickable.com/media/sets/41610-1.jpg,0,17.99,0,4.9,January 2019,67.10,4.0
41611-1,Marty McFly & Doc Brown,2018,610,240,https://cdn.rebrickable.com/media/sets/41611-1.jpg,0,17.99,0,4.8,November 2018,54.96,4.2
41614-1,Owen & Blue,2018,610,234,https://cdn.rebrickable.com/media/sets/41614-1.jpg,0,17.99,0,4.7,April 2019,25.56,4.0
41618-1,Anna & Olaf,2018,610,201,https://cdn.rebrickable.com/media/sets/41618-1.jpg,0,14.99,0,4.8,January 2019,39.06,3.6
41621-1,Ron Weasley & Albus Dumbledore,2018,610,245,https://cdn.rebrickable.com/media/sets/41621-1.jpg,0,17.99,0,4.9,January 2019,62.93,4.3
41622-1,Peter Venkman & Slimer,2018,610,228,https://cdn.rebrickable.com/media/sets/41622-1.jpg,0,17.99,0,4.9,January 2019,66.72,4.2
41623-1,Ariel & Ursula,2018,610,361,https://cdn.rebrickable.com/media/sets/41623-1.jpg,0,17.99,0,4.9,March 2019,113.83,3.8
41627-1,Luke Skywalker & Yoda,2018,610,215,https://cdn.rebrickable.com/media/sets/41627-1.jpg,0,14.99,0,4.9,April 2019,56.58,4.0
41631-1,Newt Scamander & Gellert Grindelwald,2018,610,247,https://cdn.rebrickable.com/media/sets/41631-1.jpg,0,17.99,0,4.9,February 2019,48.34,3.8
41632-1,Homer Simpson & Krusty the Clown,2018,610,215,https://cdn.rebrickable.com/media/sets/41632-1.jpg,0,17.99,0,4.9,December 2018,81.52,4.1
4182-1,The Cannibal Escape,2011,263,280,https://cdn.rebrickable.com/media/sets/4182-1.jpg,4,26.99,3,4.7,December 2012,92.95,3.9
4183-1,The Mill,2011,263,368,https://cdn.rebrickable.com/media/sets/4183-1.jpg,4,40.99,2,4.8,July 2012,144.45,4.2
4184-1,Black Pearl,2011,263,805,https://cdn.rebrickable.com/media/sets/4184-1.jpg,6,84.99,4,4.8,September 2012,924.52,4.4
41904-1,Animal Picture Holders,2020,688,425,https://cdn.rebrickable.com/media/sets/41904-1.jpg,0,12.99,0,4.7,April 2021,15.61,3.6
41905-1,Rainbow Jewelry Stand,2020,688,215,https://cdn.rebrickable.com/media/sets/41905-1.jpg,0,12.99,0,4.7,April 2021,21.72,3.6
4193-1,The London Escape,2011,263,468,https://cdn.rebrickable.com/media/sets/4193-1.jpg,5,46.99,2,4.8,July 2012,142.66,4.1
4194-1,Whitecap Bay,2011,263,751,https://cdn.rebrickable.com/media/sets/4194-1.jpg,6,71.99,3,4.3,November 2012,203.89,4.2
4195-1,Queen Anne's Revenge,2011,263,1097,https://cdn.rebrickable.com/media/sets/4195-1.jpg,9,102.99,4,4.7,October 2012,665.23,4.4
42000-1,Grand Prix Racer,2013,1,1141,https://cdn.rebrickable.com/media/sets/42000-1.jpg,0,79.99,0,4.6,December 2014,232.40,4.0
42004-1,Mini Backhoe Loader,2013,1,246,https://cdn.rebrickable.com/media/sets/42004-1.jpg,0,17.99,0,4.7,December 2014,75.27,4.1
42005-1,Monster Truck,2013,1,329,https://cdn.rebrickable.com/media/sets/42005-1.jpg,0,34.99,0,4.5,January 2015,134.48,3.6
42006-1,Excavator,2013,1,720,https://cdn.rebrickable.com/media/sets/42006-1.jpg,0,49.99,0,4.7,December 2014,187.20,4.1
42007-1,Moto Cross Bike,2013,1,253,https://cdn.rebrickable.com/media/sets/42007-1.jpg,0,24.99,0,4.7,December 2014,161.59,3.8
42008-1,Service Truck,2013,1,1276,https://cdn.rebrickable.com/media/sets/42008-1.jpg,0,99.99,0,4.7,December 2015,259.24,4.0
42009-1,Mobile Crane MK II,2013,1,2607,https://cdn.rebrickable.com/media/sets/42009-1.jpg,0,149.99,0,4.6,November 2015,324.07,4.5
4202-1,Mining Truck,2012,56,269,https://cdn.rebrickable.com/media/sets/4202-1.jpg,1,19.99,0,4.2,November 2012,72.57,3.9
42022-1,Hot Rod,2014,1,414,https://cdn.rebrickable.com/media/sets/42022-1.jpg,0,29.99,0,4.6,December 2015,70.94,3.7
42023-1,Construction Crew,2014,1,836,https://cdn.rebrickable.com/media/sets/42023-1.jpg,0,49.99,0,4.5,December 2015,156.41,4.3
42024-1,Container Truck,2014,1,948,https://cdn.rebrickable.com/media/sets/42024-1.jpg,0,59.99,0,4.5,December 2015,127.14,3.9
42025-1,Cargo Plane,2014,1,1297,https://cdn.rebrickable.com/media/sets/42025-1.jpg,0,109.99,0,4.6,December 2015,253.83,4.3
